                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'bsxfunsym'                                                           35        0.27398        1.1399e+07                 80      9.1795e+05        0.54005        0.27398          0.54005     
     'sumsym'                                                              30         0.2238        2.5706e+06         1.1368e+07      3.0624e+05        0.44115         0.2238          0.44115     
     'sw_always'                                                            1       0.012766               832               3536             832       0.025164       0.012766         0.025164     
     'cross'                                                                2        0.10043             19552               2304            6224        0.19797       0.088256          0.17397     
     'ipermute'                                                             2       0.012178              1664               1872            1120       0.024005       0.012178         0.024005     
     'spinw.basisvector'                                                    1       0.048889             18320                 80            2608       0.096367       0.048889         0.096367     
     'cell2mat'                                                             3       0.059535              9552                  0            5472        0.11735       0.059535          0.11735     
     'spinw.symop'                                                          1        0.01726             84288              74064           77296       0.034022        0.01726         0.034022     
     'sw_mattype'                                                           1       0.080863             19088                208            5344        0.15939       0.080863          0.15939     
     'shiftdim'                                                             4       0.082712             41728               1520           33664        0.16304       0.082712          0.16304     
     'fprintf0'                                                             6       0.055185             25392               6656            4336        0.10878       0.055185          0.10878     
     'ismember>ismemberR2012a'                                             14        0.88386             81376               3744           15872         1.7422        0.45988          0.90649     
     'ismember>ismemberBuiltinTypes'                                       14        0.42399             29264                208           13312        0.83574        0.42399          0.83574     
     'ismember'                                                            14         1.2231         1.229e+05              10528           18352         2.4108        0.33921          0.66862     
     'eigorth'                                                             10         13.492        1.2475e+06         7.9288e+05           33696         26.595         7.2663           14.323     
     'orth'                                                               449         6.2259        1.5782e+05         3.9946e+05           33472         12.272         6.2259           12.272     
     'squeeze'                                                             20         0.3108              6832               8880            1008        0.61264         0.3108          0.61264     
     'spinw.copy'                                                           1         5.5119        6.5722e+05         1.0677e+05           33472         10.865       0.033424         0.065884     
     'spinw.struct'                                                         1       0.043959              7392                560            2240        0.08665       0.043959          0.08665     
     '@spinw/private/initfield'                                             1        0.68145             62704               1344            7008         1.3432        0.63549           1.2526     
     'spinw.validate'                                                       1         4.6281        4.5832e+05              81664           33472         9.1226          3.894           7.6757     
     '@spinw/private/datastruct'                                            2       0.072044             31168                272            7008        0.14201       0.072044          0.14201     
     'spinw.spinw>spinw.spinw'                                              1         5.3723        5.6962e+05              83136           33472          10.59       0.062794          0.12378     
     'num2str'                                                              9        0.70794             44256               2448           12544         1.3955        0.52262           1.0302     
     'int2str'                                                              9        0.18532             11296                  0            2368        0.36529        0.18532          0.36529     
     'spinw.spinw>spinw.addlistenermulti'                                   2       0.062162             39904               7824            5120        0.12253       0.037029         0.072989     
     'spinw.spinw>spinw.addlistener'                                        5       0.025133             11920                  0            3824       0.049541       0.025133         0.049541     
     'profile_spinwave'                                                     1         50.723        4.7074e+07         4.3375e+07      9.1859e+05         99.983       0.031131         0.061364     
     'swfiles/private/sw_issymspec'                                         3       0.055455              5664                  0            2288        0.10931       0.055455          0.10931     
     'strtok'                                                               1       0.093563             16944                  0            6048        0.18443       0.024545         0.048382     
     'strtok>doStrtok'                                                      1       0.069018              7136                  0            2576        0.13604       0.069018          0.13604     
     'sw_parstr'                                                            1        0.17372             56816                 64            8560        0.34242       0.080153          0.15799     
     'sumn'                                                                 1       0.018541              1776         2.7514e+05             832       0.036547       0.018541         0.036547     
     'sw_resconv'                                                           1       0.040267             64160               1456           47648       0.079372        0.03367         0.066368     
     'gaussfwhm'                                                            1       0.006597                 0               1456               0       0.013004       0.006597         0.013004     
     'BiFeO3'                                                               1         50.732        4.7085e+07         4.3375e+07      9.1859e+05            100       0.008473         0.016702     

