                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'mmat'                                                                 1       0.072562             23344               3472            3984       0.0097346      0.055327         0.0074224    
     'bsxfunsym'                                                            4       0.035834             11280                  0            1904       0.0048073      0.035834         0.0048073    
     'sumsym'                                                               3       0.026355             10480                  0            4016       0.0035357      0.026355         0.0035357    
     'cross'                                                                1       0.056117             20512               1952            3936       0.0075284       0.04935         0.0066206    
     'ipermute'                                                             1       0.006767              1264               1808             992      0.00090783      0.006767        0.00090783    
     'sw_uniquetol'                                                         1       0.029844              8416                  0            4944       0.0040037      0.029844         0.0040037    
     'spinw.basisvector'                                                    1       0.050713             19664                 80            2944       0.0068034      0.050713         0.0068034    
     'cell2mat'                                                             3       0.062204             10416                  0            6336        0.008345      0.062204          0.008345    
     'shiftdim'                                                             4        0.10358              7872               3216            1456        0.013896       0.10358          0.013896    
     'fprintf0'                                                             5       0.060346        2.6842e+06              33104      1.3851e+06       0.0080957      0.060346         0.0080957    
     'sw_freemem'                                                           1        0.21187             42880               2384            7520        0.028423      0.056507         0.0075807    
     'unix'                                                                 2       0.063011              8384                  0            3840       0.0084532      0.063011         0.0084532    
     'strtok'                                                               2        0.16795             23184                  0            5936        0.022532      0.051081         0.0068528    
     'strtok>doStrtok'                                                      2        0.11687              9376                  0            2512        0.015679       0.11687          0.015679    
     'sw_parstr'                                                            1        0.14759             40128                 64            8432          0.0198      0.071983         0.0096569    
     'ismember>ismemberR2012a'                                              5        0.30862             58720         2.8054e+06           15552        0.041403       0.16735           0.02245    
     'ismember>ismemberBuiltinTypes'                                        5        0.14127             12416         2.8047e+06            1888        0.018952       0.14127          0.018952    
     'ismember'                                                             5        0.43299        1.2811e+05         2.8395e+06           33472        0.058088       0.12437          0.016685    
     'sw_mtimesx'                                                           1       0.003441        3.2001e+06                  0      3.2001e+06      0.00046163      0.003441        0.00046163    
     'eigorth'                                                              1       0.071768        4.8035e+06                768      4.8002e+06        0.009628      0.033978         0.0045583    
     'eig_omp'                                                              1        0.03779        4.8002e+06                  0      4.8002e+06       0.0050697       0.03779         0.0050697    
     'squeeze'                                                              2       0.036603              2368               3904            1024       0.0049105      0.036603         0.0049105    
     'spinw.copy'                                                           1         5.3243        5.5853e+05         8.7261e+05           33840         0.71428      0.029828         0.0040016    
     'spinw.struct'                                                         1       0.041859              7440                720            2288       0.0056156      0.041859         0.0056156    
     '@spinw/private/initfield'                                             1        0.67667             62688               1344            7008        0.090778       0.64453          0.086467    
     'spinw.validate'                                                       1         4.4854         3.816e+05          8.605e+05           33840         0.60173         3.781           0.50724    
     '@spinw/private/datastruct'                                            2       0.059821             31040                272            7008       0.0080253      0.059821         0.0080253    
     'spinw.spinw>spinw.spinw'                                              1         5.2258        4.9246e+05         8.6205e+05           33840         0.70106      0.063747          0.008552    
     'num2str'                                                              9         0.6767             39808               3120           12688        0.090783       0.50006          0.067086    
     'int2str'                                                              9        0.17664              6928                  0            1968        0.023697       0.17664          0.023697    
     'spinw.spinw>spinw.addlistenermulti'                                   1       0.026852             21344               6240            4896       0.0036023       0.01643         0.0022042    
     'spinw.spinw>spinw.addlistener'                                        2       0.010422              6384                  0            4064       0.0013982      0.010422         0.0013982    
     'profile_spinwave'                                                     1          745.4        7.5316e+08         6.3241e+08      5.7603e+07          99.999      0.030344         0.0040708    
     'swfiles/private/sw_issymspec'                                         3        0.04736              5568                  0            2272       0.0063536       0.04736         0.0063536    
     'sumn'                                                                 1       0.019771              1872         1.2803e+07             864       0.0026524      0.019771         0.0026524    
     'sw_resconv'                                                           1       0.078522        4.0018e+07               1392      4.0002e+07        0.010534      0.071947         0.0096521    
     'gaussfwhm'                                                            1       0.006575                 0               1392               0      0.00088207      0.006575        0.00088207    
     'FMchain_v2'                                                           1         745.41        7.5317e+08         6.3241e+08      5.7603e+07             100      0.007521          0.001009    

