                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          9         13.146        2.3915e+06          6.287e+05      1.6342e+05         5.0055         2.5707          0.97877     
     '@swpref/private/datastruct'                                           9        0.33296        4.1342e+05              33536           33536        0.12677        0.33296          0.12677     
     'swpref.swpref>swpref.set_data'                                       99         9.8124        1.2042e+06         4.2334e+05      1.6342e+05          3.736         3.9677           1.5107     
     'swpref.swpref>swpref.get_data'                                        4        0.12962             10320               4784            2064       0.049352       0.053617         0.020414     
     'swpref.swpref>swpref.get_set_static'                                112         1.4967        2.1741e+05                832           65792        0.56986         1.4967          0.56986     
     'swpref.swpref>swpref.check_names'                                   103        0.54264             25504               2512            1888        0.20661        0.54264          0.20661     
     '@swpref/private/datastruct>mustBeInteger'                            54        0.85187        1.2814e+05         1.4678e+05           34768        0.32434        0.85187          0.32434     
     '@swpref/private/datastruct>mustBeNonnegative'                        54        0.37326             14080               1712            1168        0.14212        0.37326          0.14212     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 9        0.14341             15088               2464            5152       0.054602       0.032009         0.012187     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 9         0.1423             13424               2464            3376       0.054178       0.032067         0.012209     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 9        0.14239             11808               2464            3328       0.054216       0.031549         0.012012     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 9        0.14203             12304               2464            3376       0.054078       0.032291         0.012295     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 9        0.13957             12368               2496            3408        0.05314       0.031632         0.012044     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 9        0.14029             10768               2464            3024       0.053415       0.031861         0.012131     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 9        0.13939             10768               2464            3024       0.053071       0.031715         0.012075     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 9        0.14193             13408               2464            3456       0.054039       0.031973         0.012174     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                9        0.14117             11952               2464            3376       0.053751       0.033154         0.012623     
     '@swpref/private/datastruct>check_size'                               81        0.98423             25584                 32            1472        0.37474        0.98423          0.37474     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                54        0.56262             63008              14880            4336        0.21421        0.19014         0.072395     
     '@swpref/private/datastruct>mustBeLessThan'                           54        0.37247             13200                  0            1168        0.14182        0.37247          0.14182     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         9       0.094291             13136              10752            4352       0.035901       0.031724         0.012079     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  9       0.062567              2448               8288            1072       0.023822       0.062567         0.023822     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               18        0.19096             22944              12016            4352       0.072706       0.064188         0.024439     
