                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5          7.631        9.1189e+06         3.0223e+06      5.9058e+05         2.0269         1.4921          0.39632     
     '@swpref/private/datastruct'                                           5        0.19614        2.5626e+05         1.3884e+06            8928       0.052099        0.19614         0.052099     
     'swpref.swpref>swpref.set_data'                                       55         5.6917        6.3884e+06         1.3535e+06      5.9058e+05         1.5118         2.3032          0.61176     
     'swpref.swpref>swpref.get_data'                                        4        0.13447             19216          1.113e+06            9056       0.035719       0.055639         0.014779     
     'swpref.swpref>swpref.get_set_static'                                 64        0.89514        1.8193e+06         3.5554e+05      4.1963e+05        0.23776        0.89514          0.23776     
     'swpref.swpref>swpref.check_names'                                    59        0.32467        8.6709e+05         1.3717e+06      5.9058e+05       0.086237        0.32467         0.086237     
     '@swpref/private/datastruct>mustBeInteger'                            30         0.4916             61280              84400            2832        0.13058         0.4916          0.13058     
     '@swpref/private/datastruct>mustBeNonnegative'                        30        0.21723              9488               1712            1168       0.057701        0.21723         0.057701     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5       0.082417             11568               1296            5200       0.021891       0.018581        0.0049354     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5       0.082733              9728               1296            3408       0.021975       0.018796        0.0049925     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5       0.081813              8112               1296            3360       0.021731       0.018459         0.004903     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5       0.081939              8624               1296            3408       0.021764       0.018509        0.0049163     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5        0.08176              8656               1296            3440       0.021717       0.018699        0.0049668     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5       0.080484              7088               1296            3056       0.021378       0.018295        0.0048595     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5       0.081126              7088               1296            3056       0.021548       0.018734        0.0049761     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5       0.082108              9696               1280            3488       0.021809       0.018477        0.0049078     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5       0.081873              8256               1280            3424       0.021747       0.018372        0.0048799     
     '@swpref/private/datastruct>check_size'                               45        0.56933             18736                  0            1472        0.15122        0.56933          0.15122     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30         0.3279             40832               7808            4384       0.087096        0.11105         0.029496     
     '@swpref/private/datastruct>mustBeLessThan'                           30        0.21685              8624                  0            1168         0.0576        0.21685           0.0576     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5       0.056408              9472               9632            4400       0.014983        0.01887        0.0050122     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.037538              1680               8352            1088      0.0099707       0.037538        0.0099707     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10        0.10926             48960               9264           33296       0.029022       0.036893        0.0097994     
