                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14         27.448         3.266e+06         9.8584e+05      2.3458e+05         55.034         5.3551           10.737     
     '@swpref/private/datastruct'                                          14        0.68989        5.4494e+05                 32            8928         1.3833        0.68989           1.3833     
     'swpref.swpref>swpref.set_data'                                      154         20.507        1.9977e+06         6.9757e+05      2.3458e+05         41.119         8.3109           16.664     
     'swpref.swpref>swpref.get_data'                                        4        0.17712              9872               4832            2064        0.35514       0.073128          0.14663     
     'swpref.swpref>swpref.get_set_static'                                172         3.1043        5.3576e+05              36848      2.3458e+05         6.2243         3.1043           6.2243     
     'swpref.swpref>swpref.check_names'                                   158         1.1169             35248                  0            1328         2.2395         1.1169           2.2395     
     '@swpref/private/datastruct>mustBeInteger'                            84         1.7708        1.3862e+05          1.517e+05            2832         3.5505         1.7708           3.5505     
     '@swpref/private/datastruct>mustBeNonnegative'                        84        0.78362             20656               2720            1168         1.5712        0.78362           1.5712     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.30494             21552               6016            5152        0.61142       0.066433           0.1332     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.29756             51328              37600           33632        0.59662       0.066341          0.13302     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.29336             16656               4256            3328        0.58819       0.065866          0.13207     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.29328             16672               3968            3376        0.58805       0.065873          0.13208     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14         0.2929             16752               3968            3408        0.58728       0.065806          0.13194     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14        0.29267             15328               3968            3024        0.58682        0.06581          0.13195     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.29334             15184              37344            3024        0.58816       0.065994          0.13232     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14        0.29511             17968               3968            3456        0.59171        0.06623           0.1328     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.29378             16368               3968            3376        0.58905       0.066023          0.13238     
     '@swpref/private/datastruct>check_size'                              126         2.0626             68816              69344           33632         4.1356         2.0626           4.1356     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84         1.1779             90512              23904            4336         2.3618        0.39592          0.79384     
     '@swpref/private/datastruct>mustBeLessThan'                           84          0.782             18912                  0            1168          1.568          0.782            1.568     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.19649             17696              12112            4352        0.39398       0.065817          0.13197     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14        0.13068              3376               8144            1072        0.26202        0.13068          0.26202     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.39324             32064              14880            4352        0.78847        0.13308          0.26683     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'               14        0.19565             14656               3968            2352         0.3923       0.065867          0.13207     
