                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5         9.0999        2.6724e+06           3.47e+06      5.2414e+05         0.24116        1.8577          0.049232    
     '@swpref/private/datastruct'                                           5        0.23746        2.6125e+05                  0            9088       0.0062928       0.23746         0.0062928    
     'swpref.swpref>swpref.set_data'                                       55         6.6963        2.0978e+06         3.3212e+06      5.2414e+05         0.17746        2.8273          0.074926    
     'swpref.swpref>swpref.get_data'                                        4        0.17637              9808               4016            2080        0.004674      0.074213         0.0019667    
     'swpref.swpref>swpref.get_set_static'                                 64         1.0994             34064              30576            5936        0.029136        1.0994          0.029136    
     'swpref.swpref>swpref.check_names'                                    59        0.40347             26208                496            6032        0.010692       0.40347          0.010692    
     '@swpref/private/datastruct>mustBeInteger'                            30        0.60558        2.7246e+05         1.7546e+05      1.6509e+05        0.016049       0.60558          0.016049    
     '@swpref/private/datastruct>mustBeNonnegative'                        30        0.26693             53888              18032           32880        0.007074       0.26693          0.007074    
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5       0.099678             11392               1328            5200       0.0026416      0.022744        0.00060274    
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5        0.10025              8592               5888            3392       0.0026567      0.022891        0.00060664    
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5       0.099271             13968               1056            6672       0.0026308      0.022733        0.00060245    
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5        0.10126             14320               1872            5840       0.0026835      0.023357        0.00061899    
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5        0.10013             14352               6864            5856       0.0026537      0.023269        0.00061665    
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5       0.098577              7632               1216            3056       0.0026124      0.022343        0.00059211    
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5       0.099838             18640              12592            5856       0.0026458      0.022649        0.00060022    
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5        0.10039              9536               1280            3488       0.0026604      0.022754        0.00060301    
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5       0.099889              8576               2112            3424       0.0026472       0.02252         0.0005968    
     '@swpref/private/datastruct>check_size'                               45        0.69402             42736              12096            5856        0.018392       0.69402          0.018392    
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30        0.39676        1.8408e+05              18544      1.3808e+05        0.010514       0.13445         0.0035631    
     '@swpref/private/datastruct>mustBeLessThan'                           30        0.26231             16160                688            5840       0.0069514       0.26231         0.0069514    
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5       0.067675              9344              15440            4400       0.0017935       0.02306        0.00061111    
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.044615              1648              14224            1072       0.0011823      0.044615         0.0011823    
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10        0.13414             15360               9296            4400       0.0035548      0.045202         0.0011979    
