                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'ndgrid'                                                               1         0.0788             15680                  0            4112        0.010196        0.0788          0.010196    
     'mmat'                                                                 1       0.067313             24176               4304            3984       0.0087094      0.050985         0.0065968    
     'bsxfunsym'                                                            4       0.034081             11424                  0            1904       0.0044096      0.034081         0.0044096    
     'sumsym'                                                               3       0.025479             10480                  0            4016       0.0032967      0.025479         0.0032967    
     'cross'                                                                1       0.052888             20512               1952            3792        0.006843      0.046448         0.0060098    
     'ipermute'                                                             1        0.00644              1408               1808            1136      0.00083325       0.00644        0.00083325    
     'sw_uniquetol'                                                         1       0.028739              8416                  0            4944       0.0037185      0.028739         0.0037185    
     'spinw.basisvector'                                                    1        0.05038             19664                 80            2944       0.0065185       0.05038         0.0065185    
     'cell2mat'                                                             3       0.059746             10416                  0            6336       0.0077304      0.059746         0.0077304    
     'shiftdim'                                                             4       0.085636              7872               3168            1456         0.01108      0.085636           0.01108    
     'fprintf0'                                                             6       0.055965             30720               4416            3344       0.0072411      0.055965         0.0072411    
     'ismember>ismemberR2012a'                                             14        0.89248        1.4278e+05              71248           33712         0.11547       0.47374          0.061295    
     'ismember>ismemberBuiltinTypes'                                       14        0.41874             26848              34224           11968        0.054179       0.41874          0.054179    
     'ismember'                                                            14         1.2417        1.8144e+05              74784           33712         0.16066       0.34922          0.045184    
     'sw_mtimesx'                                                          10       0.020047        3.1672e+06                  0      3.2008e+05       0.0025938      0.020047         0.0025938    
     'eigorth'                                                             10        0.40357        4.8083e+06               2160      4.8013e+05        0.052216         0.317          0.041015    
     'eig_omp'                                                             10        0.08657        4.8013e+06                  0      4.8013e+05        0.011201       0.08657          0.011201    
     'squeeze'                                                             20        0.34226              6688               7024            1024        0.044284       0.34226          0.044284    
     'spinw.copy'                                                           1          5.341        5.9907e+05         2.2274e+05           33472         0.69105      0.029709          0.003844    
     'spinw.struct'                                                         1       0.041986              7440                720            2288       0.0054324      0.041986         0.0054324    
     '@spinw/private/initfield'                                             1        0.67814             62688               1344            7008        0.087743       0.64529          0.083492    
     'spinw.validate'                                                       1          4.501        4.2163e+05         2.0533e+05           33472         0.58237        3.7874           0.49004    
     '@spinw/private/datastruct'                                            2       0.060391             31040                272            7008       0.0078138      0.060391         0.0078138    
     'spinw.spinw>spinw.spinw'                                              1         5.2427        5.3251e+05          2.069e+05           33472         0.67834      0.063634         0.0082334    
     'num2str'                                                              9        0.68603             39328               2640           12688        0.088764        0.5069          0.065586    
     'int2str'                                                              9        0.17913              6928                  0            1968        0.023177       0.17913          0.023177    
     'spinw.spinw>spinw.addlistenermulti'                                   1       0.026537             21808               6256            5136       0.0034335      0.016113         0.0020848    
     'spinw.spinw>spinw.addlistener'                                        2       0.010424              6384                  0            4064       0.0013487      0.010424         0.0013487    
     'profile_spinwave'                                                     1         772.87        5.0576e+08         3.8706e+08      4.1603e+07          99.999       0.02999         0.0038803    
     'swfiles/private/sw_issymspec'                                         3       0.047457              5520                  0            2272       0.0061403      0.047457         0.0061403    
     'strtok'                                                               1       0.078978             16864                  0            6016        0.010219      0.023712          0.003068    
     'strtok>doStrtok'                                                      1       0.055266              7232                  0            2560       0.0071507      0.055266         0.0071507    
     'sw_parstr'                                                            1        0.15106             57216                 64            8608        0.019545      0.072078          0.009326    
     'sumn'                                                                 1       0.020031              1776         1.2803e+07             864       0.0025918      0.020031         0.0025918    
     'sw_resconv'                                                           1       0.089021        4.0018e+07               1408      4.0002e+07        0.011518      0.082299          0.010648    
     'gaussfwhm'                                                            1       0.006722                 0               1408               0      0.00086974      0.006722        0.00086974    
     'FMchain_v2'                                                           1         772.87        5.0576e+08         3.8709e+08      4.1603e+07             100      0.007677         0.0009933    

