                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14         27.351        2.4069e+06         1.0645e+06           91824         38.991         5.4958           7.8349     
     '@swpref/private/datastruct'                                          14        0.70938        5.7538e+05              30416           34816         1.0113        0.70938           1.0113     
     'swpref.swpref>swpref.set_data'                                      154         20.228        1.1102e+06          7.469e+05           91824         28.838         8.5337           12.166     
     'swpref.swpref>swpref.get_data'                                        4        0.18046              9872               4832            2064        0.25726       0.074425           0.1061     
     'swpref.swpref>swpref.get_set_static'                                172         3.2027             51376               2448            2224         4.5659         3.2027           4.5659     
     'swpref.swpref>swpref.check_names'                                   158         1.1483             33184                  0            1328          1.637         1.1483            1.637     
     '@swpref/private/datastruct>mustBeInteger'                            84         1.8185        2.3102e+05         1.8507e+05           91824         2.5925         1.8185           2.5925     
     '@swpref/private/datastruct>mustBeNonnegative'                        84        0.80257             19648               1712            1168         1.1442        0.80257           1.1442     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.30414             52928              37392           33424        0.43359       0.068389         0.097497     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.30328             17696               3968            3376        0.43236        0.06835         0.097441     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.30157             16368               3968            3328        0.42992       0.067654         0.096449     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.30238             16720               3968            3376        0.43108       0.067661         0.096459     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14        0.30095             16752               3968            3408        0.42904       0.067546         0.096295     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14        0.30083             15328               3968            3024        0.42887       0.067571          0.09633     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.30066             15328               3968            3024        0.42863       0.067734         0.096563     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14          0.303             17968               3968            3456        0.43196       0.067984         0.096919     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.30131             49840              37440           33472        0.42955       0.067695         0.096507     
     '@swpref/private/datastruct>check_size'                              126         2.1075             99936              66896           33472         3.0045         2.1075           3.0045     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84         1.2062             90608              24000            4336         1.7195        0.40536           0.5779     
     '@swpref/private/datastruct>mustBeLessThan'                           84        0.80081             19008                  0            1168         1.1416        0.80081           1.1416     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.20188             17696              12256            4352         0.2878       0.067482         0.096204     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14         0.1344              3376               8288            1072         0.1916         0.1344           0.1916     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.40241             32064              14736            4352        0.57368        0.13509          0.19259     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'               14        0.20033             14656               3968            2352         0.2856       0.067253         0.095877     
