                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         20         38.901        1.5701e+07         4.9797e+06      1.0496e+06         11.303         7.5856           2.2039     
     '@swpref/private/datastruct'                                          20        0.96006        7.3523e+05                  0            8928        0.27894        0.96006          0.27894     
     'swpref.swpref>swpref.set_data'                                      220         29.092        1.1574e+07         4.2587e+06      1.0496e+06         8.4524         11.761            3.417     
     'swpref.swpref>swpref.get_data'                                        4        0.18381              9872               4832            2064       0.053406       0.079759         0.023173     
     'swpref.swpref>swpref.get_set_static'                                244         4.3746        3.4663e+06         3.1591e+06      6.9179e+05          1.271         4.3746            1.271     
     'swpref.swpref>swpref.check_names'                                   224         1.5776        1.6879e+06              35376      1.0496e+06        0.45835         1.5776          0.45835     
     '@swpref/private/datastruct>mustBeInteger'                           120          2.542        1.9104e+05          1.972e+05            2832        0.73855          2.542          0.73855     
     '@swpref/private/datastruct>mustBeNonnegative'                       120         1.1019             28864              61216            2496        0.32014         1.1019          0.32014     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                20        0.41931             26384              38544            5152        0.12183       0.094247         0.027383     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                20         0.4165             25280               7808            3376        0.12101       0.093595         0.027193     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                20        0.41969             21936               5792            3328        0.12194       0.094691         0.027512     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                20        0.42078             22288               5792            3376        0.12226       0.093025         0.027028     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                20        0.42371             22320               5792            3408        0.12311       0.093118         0.027055     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                20        0.41375             20896               5792            3024        0.12021       0.093374         0.027129     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                20        0.41328             20896               5792            3024        0.12008       0.093022         0.027027     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                20        0.41543             23536               5792            3456         0.1207       0.093531         0.027175     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               20        0.41545             62944              42080           30416        0.12071       0.093314         0.027112     
     '@swpref/private/datastruct>check_size'                              180          2.916             87168              22528           30416        0.84722          2.916          0.84722     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'               120         1.6649        1.5762e+05              68400           33648        0.48372        0.56092          0.16297     
     '@swpref/private/datastruct>mustBeLessThan'                          120          1.104             59472              33648           33648        0.32075          1.104          0.32075     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        20        0.27832             23264              13936            4352       0.080864       0.093207         0.027081     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 20        0.18511              4528               8144            1072       0.053783        0.18511         0.053783     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               40        0.55963             43200              18528            4352         0.1626        0.18646         0.054175     
