                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          9         16.959         1.653e+06         6.8222e+05           33680          30.37         3.4143           6.1143     
     '@swpref/private/datastruct'                                           9        0.43713        3.8059e+05                  0            8928        0.78281        0.43713          0.78281     
     'swpref.swpref>swpref.set_data'                                       99         12.537        6.9771e+05         4.1498e+05           33680          22.45         5.2833           9.4611     
     'swpref.swpref>swpref.get_data'                                        4        0.17187              9872               4832            2064        0.30779       0.071005          0.12715     
     'swpref.swpref>swpref.get_set_static'                                112         2.0114             73184              36560           33680          3.602         2.0114            3.602     
     'swpref.swpref>swpref.check_names'                                   103         0.7223             22432                720            1328         1.2935         0.7223           1.2935     
     '@swpref/private/datastruct>mustBeInteger'                            54         1.1277             94944         1.1378e+05            2832         2.0195         1.1277           2.0195     
     '@swpref/private/datastruct>mustBeNonnegative'                        54         0.4967             13888               1712            1168        0.88949         0.4967          0.88949     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 9        0.18881             14864               2448            5152        0.33812       0.042429         0.075981     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 9        0.18982             13056               2448            3376        0.33992       0.042768         0.076588     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 9        0.18676             11728               2448            3328        0.33444       0.042055         0.075311     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 9         0.1875             12080               2448            3376        0.33578       0.042197         0.075565     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 9        0.18658             12112               2448            3408        0.33412       0.042076         0.075349     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 9        0.18637             10688               2448            3024        0.33375       0.042105         0.075401     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 9        0.18594             10688               2448            3024        0.33298       0.041866         0.074973     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 9        0.18793             13328               2448            3456        0.33654       0.042265         0.075687     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                9        0.18698             11728               2448            3376        0.33484       0.042186         0.075546     
     '@swpref/private/datastruct>check_size'                               81         1.3067             24400                  0            1376         2.3401         1.3067           2.3401     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                54        0.74806             62672              14784            4336         1.3396        0.25137          0.45015     
     '@swpref/private/datastruct>mustBeLessThan'                           54        0.49669             13152                  0            1168        0.88945        0.49669          0.88945     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         9         0.1255             13056              10736            4352        0.22473       0.042144          0.07547     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  9       0.083351              2416               8288            1072        0.14926       0.083351          0.14926     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               18        0.24954             22784              11696            4352        0.44686       0.083854          0.15016     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                9        0.12423             10016               2448            2352        0.22246       0.041811         0.074874     
