                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14          19.72        3.4968e+06          1.106e+06      2.3117e+05         8.4478         3.8583           1.6528     
     '@swpref/private/datastruct'                                          14        0.50862        5.7678e+05              33552           36912        0.21788        0.50862          0.21788     
     'swpref.swpref>swpref.set_data'                                      154         14.709        2.1978e+06         7.8328e+05      2.3117e+05          6.301         5.9571           2.5519     
     'swpref.swpref>swpref.get_data'                                        4        0.13051             10464               4784            2064       0.055906       0.053514         0.022924     
     'swpref.swpref>swpref.get_set_static'                                172         2.2206        6.0202e+05              70224      1.6376e+05        0.95125         2.2206          0.95125     
     'swpref.swpref>swpref.check_names'                                   158        0.79937             33552                  0            1328        0.34244        0.79937          0.34244     
     '@swpref/private/datastruct>mustBeInteger'                            84         1.2767        1.7274e+05         1.8562e+05           33504        0.54693         1.2767          0.54693     
     '@swpref/private/datastruct>mustBeNonnegative'                        84        0.55768             21472               6880            1632         0.2389        0.55768           0.2389     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.20996             86048              70336           33856       0.089942       0.047317          0.02027     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.21029             18064               3984            3376       0.090086       0.047406         0.020308     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.20984             17840               3680            3328        0.08989       0.047573         0.020379     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.21471             37888               4592           21872       0.091976       0.048966         0.020976     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14        0.21079             16976               3984            3408       0.090299       0.047708         0.020437     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14         0.2094             15408               3984            3024       0.089701       0.047211         0.020224     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.20967             15408               3984            3024       0.089819       0.047426         0.020316     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14        0.21106             18048               3984            3456       0.090413       0.047774         0.020466     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.20977             16592               3984            3376       0.089861       0.047733         0.020448     
     '@swpref/private/datastruct>check_size'                              126         1.4664             67472              66960           33856        0.62816         1.4664          0.62816     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84        0.85304        1.3517e+05              63216           24000        0.36543        0.28561          0.12235     
     '@swpref/private/datastruct>mustBeLessThan'                           84        0.56742             48416              39520           24000        0.24307        0.56742          0.24307     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.13964             17776              12272            4352       0.059817       0.047181         0.020212     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14       0.092454              3408               8288            1072       0.039606       0.092454         0.039606     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.28489             32224              15056            4352        0.12204       0.095558         0.040935     
