                         FunctionName                          NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime     SelfPercentageTime
    ________________________________________________________    ________    _________    _________________    _____________    __________    ______________    _________    __________________

     'swpref.swpref>swpref.swpref'                                 14         0.34517                0                  0               0         0.12815        0.11285          0.041898    
     '@swpref\private\datastruct'                                  14        0.060151                0                  0               0        0.022332       0.060151          0.022332    
     'swpref.swpref>swpref.set_data'                              154         0.14948                0                  0               0        0.055497       0.041445          0.015387    
     'swpref.swpref>swpref.get_data'                                4       0.0045747                0                  0               0       0.0016984      0.0018311        0.00067982    
     'swpref.swpref>swpref.get_set_static'                        172         0.01649                0                  0               0       0.0061222        0.01649         0.0061222    
     'swpref.swpref>swpref.check_names'                           158        0.012093                0                  0               0       0.0044898       0.012093         0.0044898    
     '@swpref\private\datastruct>mustBeInteger'                    84        0.044484                0                  0               0        0.016515       0.044484          0.016515    
     '@swpref\private\datastruct>mustBeNonnegative'                84        0.002234                0                  0               0       0.0008294       0.002234         0.0008294    
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        14       0.0052126                0                  0               0       0.0019352      0.0026461         0.0009824    

                               :                                   :            :                :                  :              :               :               :                :         

     'strtok'                                                       1       0.0051209                0                  0               0       0.0019012      0.0031157         0.0011567    
     'strtok>doStrtok'                                              1       0.0020052                0                  0               0      0.00074446      0.0020052        0.00074446    
     'sw_parstr'                                                    1        0.013053                0                  0               0       0.0048461      0.0079322         0.0029449    
     'sumn'                                                         1           1.568                0         1.2825e+09               0         0.58212          1.568           0.58212    
     'sw_resconv'                                                   1          6.7719       4.0078e+09                  0      4.0078e+09          2.5141         6.6801            2.4801    
     'gaussfwhm'                                                    1        0.091719                0                  0               0        0.034052       0.091719          0.034052    
     'FMchain'                                                      1          269.35       4.2607e+10         4.2607e+10      4.1681e+09          99.999      0.0004098        0.00015214    
     'run'                                                          1          269.35       4.2607e+10         4.2607e+10      4.1681e+09          99.999      0.0003979        0.00014773    
     'run_performance_tests'                                        1          269.35       4.2607e+10         4.2607e+10      4.1681e+09             100      0.0026181          0.000972    

	Display all 86 rows.

