                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5          10.21        1.4916e+06         3.0023e+06      2.9837e+05         20.548         2.0555            4.137     
     '@swpref/private/datastruct'                                           5          0.266         2.589e+05                  0           12960        0.53536          0.266          0.53536     
     'swpref.swpref>swpref.set_data'                                       55         7.5341        8.7643e+05         3.9038e+05      2.9837e+05         15.163         3.1671           6.3741     
     'swpref.swpref>swpref.get_data'                                        4        0.18103             15408               9264            5456        0.36435       0.074687          0.15032     
     'swpref.swpref>swpref.get_set_static'                                 64         1.2203             66384              44992            5920          2.456         1.2203            2.456     
     'swpref.swpref>swpref.check_names'                                    59        0.44327             14000               6608            1328        0.89212        0.44327          0.89212     
     '@swpref/private/datastruct>mustBeInteger'                            30        0.67463             77168              87872            5776         1.3578        0.67463           1.3578     
     '@swpref/private/datastruct>mustBeNonnegative'                        30        0.30951             21264              16944            5968        0.62291        0.30951          0.62291     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5        0.11302             11088               1328            5008        0.22746       0.025472         0.051265     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5        0.11297              9424               1216            3376        0.22736       0.025402         0.051124     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5        0.11239             13584               6832            9104         0.2262        0.02543          0.05118     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5         0.1115              8320               1280            3376         0.2244       0.025218         0.050754     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5        0.11268             10672               9088            5776        0.22678       0.025469         0.051259     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5        0.11204              6928               1216            3024         0.2255       0.025709         0.051742     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5        0.11934              7216               6368            3024        0.24018       0.025377         0.051074     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5         0.1122              9328               1216            3456        0.22581       0.025359         0.051038     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5        0.11066              8112               1216            3376        0.22271       0.025139         0.050595     
     '@swpref/private/datastruct>check_size'                               45        0.78822             23136              11168            5776         1.5864        0.78822           1.5864     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30        0.44789             39840              12768            4336        0.90141        0.15119          0.30428     
     '@swpref/private/datastruct>mustBeLessThan'                           30         0.2967              8224               5456            1168        0.59714         0.2967          0.59714     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5       0.075421              9280               9504            4352        0.15179       0.025309         0.050937     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.050112              1648               8288            1072        0.10086       0.050112          0.10086     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10        0.17388        3.2328e+05              19600      2.9837e+05        0.34996       0.053304          0.10728     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                5       0.074873              6256               6832            2352        0.15069       0.025397         0.051114     
