                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          9         13.899        2.3353e+07         7.1979e+06      1.5248e+06         47.463         2.7092           9.2519     
     '@swpref/private/datastruct'                                           9        0.34718           3.8e+05                  0            8928         1.1856        0.34718           1.1856     
     'swpref.swpref>swpref.set_data'                                       99         10.389        1.8444e+07         6.2905e+06      1.5248e+06         35.479          4.214           14.391     
     'swpref.swpref>swpref.get_data'                                        4        0.13574        4.8334e+06         2.9937e+06      1.6425e+06        0.46355       0.056234          0.19204     
     'swpref.swpref>swpref.get_set_static'                                112           1.58        7.0056e+06         5.0376e+06      1.5248e+06         5.3956           1.58           5.3956     
     'swpref.swpref>swpref.check_names'                                   103        0.57112         7.612e+05         7.9045e+05      2.4749e+05         1.9504        0.57112           1.9504     
     '@swpref/private/datastruct>mustBeInteger'                            54        0.90325             94640         1.1328e+05            2832         3.0846        0.90325           3.0846     
     '@swpref/private/datastruct>mustBeNonnegative'                        54        0.39545             14816               2448            1168         1.3505        0.39545           1.3505     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 9        0.14752             15088               2464            5152        0.50376       0.033383            0.114     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 9         0.1468             13424               2464            3376        0.50131       0.033203          0.11339     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 9        0.15751             11808               2464            3328         0.5379       0.040438           0.1381     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 9        0.15656             12304               2464            3376        0.53466       0.034545          0.11797     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 9        0.14584             12944               3072            3408        0.49804       0.032989          0.11266     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 9        0.15463             10624               2464            2880        0.52806       0.033188          0.11334     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 9        0.14549             10768               2464            3024        0.49686        0.03313          0.11314     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 9        0.14724             13408               2464            3456        0.50284        0.03313          0.11314     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                9        0.14867             11952               2464            3376        0.50772       0.033298          0.11371     
     '@swpref/private/datastruct>check_size'                               81          1.043             25328                608            1472         3.5617          1.043           3.5617     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                54        0.59463             63840              15712            4336         2.0307        0.20052          0.68478     
     '@swpref/private/datastruct>mustBeLessThan'                           54        0.39411             14032                832            1168         1.3459        0.39411           1.3459     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         9        0.10427             13968              11728            4352        0.35608       0.035127          0.11996     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  9       0.069142              3280               8432            1072        0.23612       0.069142          0.23612     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               18        0.20198             22944              12016            4352        0.68974       0.067238          0.22962     
