                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'mmat'                                                                18         1.4107        1.3678e+07         1.3009e+07      9.1859e+05         5.1744         1.0663           3.9113     
     'sw_rot'                                                               1       0.071289             13424                416            4560        0.26149       0.041469          0.15211     
     'bsxfunsym'                                                           25        0.24827        6.5006e+06                 64      9.1795e+05        0.91068        0.24827          0.91068     
     'sumsym'                                                              20        0.19202        2.1582e+06         6.4732e+06      3.0624e+05        0.70433        0.19202          0.70433     
     'sw_always'                                                            1       0.015727                 0               2704               0       0.057687       0.015727         0.057687     
     'cross'                                                                2        0.12795             19104               2304            6224        0.46933        0.11233          0.41201     
     'ipermute'                                                             2       0.015627              1664               1872            1120        0.05732       0.015627          0.05732     
     'spinw.basisvector'                                                    1       0.062881             17344                 80            2608        0.23065       0.062881          0.23065     
     'cell2mat'                                                             3       0.076495              9808                  0            5728        0.28059       0.076495          0.28059     
     'spinw.symop'                                                          1       0.022274             84288              74064           77296       0.081702       0.022274         0.081702     
     'sw_mattype'                                                           1         0.1048             19088                208            5344         0.3844         0.1048           0.3844     
     'shiftdim'                                                             4        0.10847              8064               1552            1456        0.39786        0.10847          0.39786     
     'fprintf0'                                                             5       0.057999        2.3286e+05               4448      1.6406e+05        0.21274       0.057999          0.21274     
     'sw_freemem'                                                           1        0.25769             43360               6864            7536         0.9452       0.061804           0.2267     
     'unix'                                                                 2        0.08269              8032                  0            3456        0.30331        0.08269          0.30331     
     'strtok'                                                               2        0.20898             24480                  0            5968        0.76655       0.063745          0.23382     
     'strtok>doStrtok'                                                      2        0.14524             10080                  0            2928        0.53273        0.14524          0.53273     
     'sw_parstr'                                                            1        0.18678             39584                 64            8448        0.68511        0.09099          0.33375     
     'ismember>ismemberR2012a'                                              5        0.40895             75456                608           15872            1.5        0.20754          0.76126     
     'ismember>ismemberBuiltinTypes'                                        5        0.20141             27536                  0           13312        0.73877        0.20141          0.73877     
     'ismember'                                                             5         0.5611        1.4706e+05              35568           33872         2.0581        0.15216          0.55812     
     'sw_mtimesx'                                                           1        0.00279        1.2238e+06                  0      1.2238e+06       0.010234        0.00279         0.010234     
     'eigorth'                                                              1       0.051054        8.8821e+05                416        8.84e+05        0.18727       0.037847          0.13882     
     'eig_omp'                                                              1       0.013207          8.84e+05                  0        8.84e+05       0.048444       0.013207         0.048444     
     'squeeze'                                                              2       0.041637              2320               3568            1008        0.15273       0.041637          0.15273     
     'spinw.copy'                                                           1         6.7908         6.148e+05              98832           33472         24.909       0.041443          0.15201     
     'spinw.struct'                                                         1       0.052306              7168                608            2160        0.19186       0.052306          0.19186     
     '@spinw/private/initfield'                                             1        0.85367             53312               2336            6768         3.1313        0.81354           2.9841     
