                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          9         16.905        4.9098e+06         1.3072e+06      4.2722e+05         5.8236         3.3091           1.1399     
     '@swpref/private/datastruct'                                           9        0.42462        3.8056e+05                  0            8928        0.14628        0.42462          0.14628     
     'swpref.swpref>swpref.set_data'                                       99         12.624        3.4636e+06         6.9906e+05      4.2722e+05         4.3486          5.084           1.7514     
     'swpref.swpref>swpref.get_data'                                        4        0.16721              9872               4832            2064       0.057601       0.069091         0.023801     
     'swpref.swpref>swpref.get_set_static'                                112         1.9336        2.2443e+06               6208      4.2722e+05        0.66607         1.9336          0.66607     
     'swpref.swpref>swpref.check_names'                                   103        0.70362             22432               2112            1328        0.24239        0.70362          0.24239     
     '@swpref/private/datastruct>mustBeInteger'                            54          1.103             95808         1.1507e+05            2832        0.37996          1.103          0.37996     
     '@swpref/private/datastruct>mustBeNonnegative'                        54        0.47624             15088               2912            1200        0.16406        0.47624          0.16406     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 9        0.18051             14864               2448            5152       0.062183       0.041482          0.01429     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 9        0.19515             13056               2448            3376       0.067227       0.040905         0.014091     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 9        0.17799             11728               2448            3328       0.061314       0.040222         0.013856     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 9        0.17822             11344              35072            3376       0.061394       0.040276         0.013874     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 9         0.1785             12112               2448            3408        0.06149        0.04038          0.01391     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 9        0.17827             10688               2448            3024        0.06141       0.040724         0.014029     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 9        0.17905             10688               2448            3024        0.06168       0.040226         0.013857     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 9        0.18053             13328               2448            3456       0.062189       0.040791         0.014052     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                9        0.17864             11728               2448            3376       0.061537       0.040378          0.01391     
     '@swpref/private/datastruct>check_size'                               81         1.2615             24400                  0            1376        0.43456         1.2615          0.43456     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                54        0.74665             96320              48720           32880        0.25721        0.25562         0.088056     
     '@swpref/private/datastruct>mustBeLessThan'                           54        0.49103             46032              33936           32880        0.16915        0.49103          0.16915     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         9        0.11997             13056              10448            4352       0.041328       0.040276         0.013874     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  9       0.079694              2416               8000            1072       0.027453       0.079694         0.027453     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               18        0.23875             22784              11552            4352       0.082244       0.080386         0.027692     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                9        0.11877             10016               2448            2352       0.040916       0.040107         0.013816     
