                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5          9.966        1.6252e+06         4.6204e+06      2.9501e+05         36.384         1.9409           7.0861     
     '@swpref/private/datastruct'                                           5        0.25648        2.5587e+05                 32            8928        0.93637        0.25648          0.93637     
     'swpref.swpref>swpref.set_data'                                       55         7.4412        1.0627e+06         4.5203e+06      2.9501e+05         27.167         3.0153           11.008     
     'swpref.swpref>swpref.get_data'                                        4        0.17065              9872               4832            2064        0.62303       0.070474          0.25729     
     'swpref.swpref>swpref.get_set_static'                                 64         1.1675             35728                  0            3312         4.2624         1.1675           4.2624     
     'swpref.swpref>swpref.check_names'                                    59        0.42364             14176                  0            1328         1.5466        0.42364           1.5466     
     '@swpref/private/datastruct>mustBeInteger'                            30        0.64354             59984              83424            2832         2.3495        0.64354           2.3495     
     '@swpref/private/datastruct>mustBeNonnegative'                        30        0.28389             42912               1712           33632         1.0365        0.28389           1.0365     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5        0.10831             11152               1232            5152        0.39543       0.024478         0.089366     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5        0.10817              9344               1232            3376         0.3949       0.024451         0.089267     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5        0.10695              8016               1232            3328        0.39044       0.024194         0.088329     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5        0.10697              8368               1232            3376        0.39055       0.024244         0.088511     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5        0.10669              8400               1232            3408         0.3895       0.024088         0.087942     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5        0.10612              6976               1232            3024        0.38744       0.024036         0.087752     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5        0.10627              6976               1232            3024        0.38796       0.024114         0.088037     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5        0.10793             42496              34112           33072        0.39403       0.024203         0.088362     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5        0.10675              8016               1232            3376        0.38972        0.02423          0.08846     
     '@swpref/private/datastruct>check_size'                               45        0.74611             50368              32880           33072         2.7239        0.74611           2.7239     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30        0.42767             40400               7488            4336         1.5613        0.14431          0.52685     
     '@swpref/private/datastruct>mustBeLessThan'                           30        0.28336              8544                  0            1168         1.0345        0.28336           1.0345     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5       0.072254              9344               9376            4352        0.26379       0.024221         0.088427     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.048033              1648               8144            1072        0.17536       0.048033          0.17536     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10        0.14306             15360         3.7811e+06            4352         0.5223       0.048103          0.17562     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                5       0.070818              6304               1232            2352        0.25855       0.023932         0.087372     
