                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          9         17.544        1.8408e+06         8.7019e+05           79056         30.445         3.5891           6.2284     
     '@swpref/private/datastruct'                                           9        0.45085        3.8278e+05               2224            8928         0.7824        0.45085           0.7824     
     'swpref.swpref>swpref.set_data'                                       99         12.911        8.8398e+05         6.3486e+05           79056         22.405         5.4448           9.4488     
     'swpref.swpref>swpref.get_data'                                        4         0.1743              9872               4832            2064        0.30247       0.073254          0.12712     
     'swpref.swpref>swpref.get_set_static'                                112         2.0591        1.0378e+05              67488           33552         3.5732         2.0591           3.5732     
     'swpref.swpref>swpref.check_names'                                   103        0.73984             22480              33696            1328         1.2839        0.73984           1.2839     
     '@swpref/private/datastruct>mustBeInteger'                            54         1.1646         2.151e+05         2.3406e+05           79056         2.0211         1.1646           2.0211     
     '@swpref/private/datastruct>mustBeNonnegative'                        54         0.5118             14800               2624            1168        0.88816         0.5118          0.88816     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 9        0.19384             14864               2448            5152        0.33638       0.043602         0.075666     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 9        0.19385             13056               2448            3376        0.33641       0.043534         0.075548     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 9        0.19262             11728               2448            3328        0.33427        0.04344         0.075385     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 9         0.1935             12944               3312            3376        0.33579       0.043454         0.075409     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 9        0.19238             12112               2448            3408        0.33386       0.043392         0.075301     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 9        0.19154             10688               2448            3024        0.33239       0.043275         0.075098     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 9        0.19273             10688               2448            3024        0.33445       0.044473         0.077177     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 9        0.19306             13328               2448            3456        0.33503       0.043477         0.075449     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                9         0.1961             11728               2448            3376        0.34031       0.043338         0.075208     
     '@swpref/private/datastruct>check_size'                               81         1.3476             24208                864            1376         2.3387         1.3476           2.3387     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                54        0.77088             62672              14784            4336         1.3378        0.25914          0.44971     
     '@swpref/private/datastruct>mustBeLessThan'                           54        0.51174             13152                  0            1168        0.88806        0.51174          0.88806     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         9        0.13167             13056              10736            4352         0.2285       0.043501          0.07549     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  9       0.088171              2416               8288            1072        0.15301       0.088171          0.15301     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               18        0.25707             22784              11696            4352        0.44611       0.086464          0.15005     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                9         0.1284             10016               2448            2352        0.22283       0.043626         0.075707     
