                         FunctionName                          NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime     SelfPercentageTime
    ________________________________________________________    ________    _________    _________________    _____________    __________    ______________    _________    __________________

     'swpref.swpref>swpref.swpref'                                 14         0.24419             4096             4096              4096         26.619         0.06365           6.9385     
     '@swpref\private\datastruct'                                  14        0.024821                0                0                 0         2.7057        0.024821           2.7057     
     'swpref.swpref>swpref.set_data'                              154          0.1423             4096             4096              4096         15.512        0.036832           4.0151     
     'swpref.swpref>swpref.get_data'                                4       0.0033008                0                0                 0        0.35982       0.0015506          0.16903     
     'swpref.swpref>swpref.get_set_static'                        172        0.010617                0                0                 0         1.1573        0.010617           1.1573     
     'swpref.swpref>swpref.check_names'                           158        0.011205                0                0                 0         1.2215        0.011205           1.2215     
     '@swpref\private\datastruct>mustBeInteger'                    84        0.018134             4096                0              4096         1.9768        0.018134           1.9768     
     '@swpref\private\datastruct>mustBeNonnegative'                84       0.0023936                0             4096                 0        0.26093       0.0023936          0.26093     
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        14       0.0025878                0                0                 0         0.2821       0.0010637          0.11595     

                               :                                   :            :                :                  :              :               :               :                :         

     'strtok'                                                       1       0.0029324                0                0                 0        0.31966       0.0010948          0.11934     
     'strtok>doStrtok'                                              1       0.0018376                0                0                 0        0.20032       0.0018376          0.20032     
     'sw_parstr'                                                    1       0.0086892                0                0                 0        0.94722       0.0057568          0.62755     
     'sumn'                                                         1       0.0013688                0                0                 0        0.14921       0.0013688          0.14921     
     'sw_resconv'                                                   1       0.0045153                0                0                 0        0.49222       0.0037104          0.40447     
     'gaussfwhm'                                                    1       0.0008049                0                0                 0       0.087743       0.0008049         0.087743     
     'BiFeO3'                                                       1         0.91701        3.072e+05            16384        2.2528e+05         99.964       0.0001435         0.015643     
     'run'                                                          1         0.91716        3.072e+05            16384        2.2528e+05          99.98       0.0001505         0.016406     
     'run_performance_tests'                                        1         0.91734        3.072e+05            16384        2.2528e+05            100       0.0001834         0.019993     

	Display all 95 rows.

