                         FunctionName                          NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime     SelfPercentageTime
    ________________________________________________________    ________    _________    _________________    _____________    __________    ______________    _________    __________________

     'swpref.swpref>swpref.swpref'                                 23         0.86023                0                  0               0        0.23119         0.27494          0.07389     
     '@swpref\private\datastruct'                                  23         0.13224                0                  0               0       0.035539         0.13224         0.035539     
     'swpref.swpref>swpref.set_data'                              253         0.38255                0                  0               0        0.10281         0.10596         0.028477     
     'swpref.swpref>swpref.get_data'                                4        0.008642                0                  0               0      0.0023226        0.004315        0.0011597     
     'swpref.swpref>swpref.get_set_static'                        280        0.033116                0                  0               0         0.0089        0.033116           0.0089     
     'swpref.swpref>swpref.check_names'                           257        0.025116                0                  0               0        0.00675        0.025116          0.00675     
     '@swpref\private\datastruct>mustBeInteger'                   138         0.10142                0                  0               0       0.027258         0.10142         0.027258     
     '@swpref\private\datastruct>mustBeNonnegative'               138       0.0069043                0                  0               0      0.0018555       0.0069043        0.0018555     
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        23        0.027987                0                  0               0      0.0075217       0.0071741        0.0019281     

                               :                                   :            :                :                  :              :               :               :                :         

     'strtok'                                                       1       0.0079806                0                  0               0      0.0021448       0.0039371        0.0010581     
     'strtok>doStrtok'                                              1       0.0040435                0                  0               0      0.0010867       0.0040435        0.0010867     
     'sw_parstr'                                                    1        0.022254                0                  0               0      0.0059807        0.014273        0.0038359     
     'sumn'                                                         1          2.1753                0         1.2825e+09               0        0.58461          2.1753          0.58461     
     'sw_resconv'                                                   1          15.636       4.0078e+09              16384      4.0078e+09         4.2022          15.555           4.1805     
     'gaussfwhm'                                                    1        0.080807                0                  0               0       0.021717        0.080807         0.021717     
     'FMchain'                                                      1          372.07       4.1783e+10         4.1783e+10      4.1681e+09         99.996       0.0026381         0.000709     
     'run'                                                          1          372.08       4.1783e+10         4.1783e+10      4.1681e+09         99.998       0.0079979        0.0021495     
     'run_performance_tests'                                        1          372.09       4.1783e+10         4.1783e+10      4.1681e+09            100       0.0070772         0.001902     

	Display all 87 rows.

