                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         20         38.218         4.136e+06         1.4484e+06      1.9646e+05         11.522         7.4495           2.2459     
     '@swpref/private/datastruct'                                          20        0.94438        8.0107e+05              65696           36144        0.28471        0.94438          0.28471     
     'swpref.swpref>swpref.set_data'                                      220         28.572        2.2739e+06         9.1206e+05      1.9646e+05         8.6139          11.56            3.485     
     'swpref.swpref>swpref.get_data'                                        4        0.17101              9872               4832            2064       0.051555       0.070682         0.021309     
     'swpref.swpref>swpref.get_set_static'                                244         4.3056        3.4424e+05               1248            7120          1.298         4.3056            1.298     
     'swpref.swpref>swpref.check_names'                                   224         1.5391             46912                  0            1328        0.46399         1.5391          0.46399     
     '@swpref/private/datastruct>mustBeInteger'                           120         2.4673        1.9254e+05          1.987e+05            2832        0.74385         2.4673          0.74385     
     '@swpref/private/datastruct>mustBeNonnegative'                       120         1.0895             26560               1712            1168        0.32846         1.0895          0.32846     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                20        0.41335             25072               5792            5152        0.12462        0.09246         0.027875     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                20        0.41091             23616               5488            3376        0.12388       0.091881           0.0277     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                20        0.40916             21936               5792            3328        0.12335       0.091937         0.027717     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                20        0.40794             22288               5792            3376        0.12299       0.091577         0.027609     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                20        0.40764             22320               5792            3408        0.12289       0.091504         0.027587     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                20         0.4074             21712               6608            3024        0.12282        0.09172         0.027652     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                20        0.40915             23024               7920            3024        0.12335       0.091465         0.027575     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                20        0.40862        1.0182e+05              55296           80416        0.12319       0.091868         0.027696     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               20        0.40898             21936               5792            3376         0.1233       0.091691         0.027643     
     '@swpref/private/datastruct>check_size'                              180          2.857             44240              52400            1376        0.86134          2.857          0.86134     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'               120         1.6371        1.2397e+05              34752            4336        0.49355        0.54808          0.16523     
     '@swpref/private/datastruct>mustBeLessThan'                          120          1.089             25824                  0            1168        0.32832          1.089          0.32832     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        20        0.27684             24320              15136            4352       0.083461       0.091733         0.027656     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 20        0.18511              5584               8288            1072       0.055806        0.18511         0.055806     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               40        0.54539             75952              85168           34208        0.16442          0.183         0.055172     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'               20        0.27176             20224               5792            2352       0.081928       0.091418         0.027561     
