                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'mmat'                                                                 7        0.61271        1.6035e+05         1.1138e+05           53344        0.24524        0.47052          0.18833     
     'bsxfunsym'                                                           15         0.1587        7.6658e+05         3.1507e+05       1.572e+05       0.063521         0.1587         0.063521     
     'sumsym'                                                               9       0.093621             29680              52304           17792       0.037473       0.093621         0.037473     
     'cross'                                                                2        0.13707             48496               2032           18336       0.054864        0.12031         0.048157     
     'ipermute'                                                             2       0.016756              3440               1808            1136      0.0067068       0.016756        0.0067068     
     'sw_uniquetol'                                                         1       0.038327              8624                  0            5344       0.015341       0.038327         0.015341     
     'spinw.basisvector'                                                    1       0.065514             18992                512            2816       0.026223       0.065514         0.026223     
     'cell2mat'                                                             3       0.078857             10672                  0            6592       0.031563       0.078857         0.031563     
     'spinw.symop'                                                          1       0.023085             84288              74064           77296        0.00924       0.023085          0.00924     
     'sw_mattype'                                                           1        0.10833             19088                208            5344       0.043359        0.10833         0.043359     
     'shiftdim'                                                             4        0.11195              8064               1552            1456        0.04481        0.11195          0.04481     
     'fprintf0'                                                             6       0.072123             46544               9104            4624       0.028868       0.072123         0.028868     
     'ismember>ismemberR2012a'                                             14         1.1432             79984               3376           15872        0.45758         0.5963          0.23868     
     'ismember>ismemberBuiltinTypes'                                       14        0.54691             29312                 32           13312        0.21891        0.54691          0.21891     
     'ismember'                                                            14         1.5803         1.199e+05               6752           18368        0.63252        0.43706          0.17494     
     'sw_mtimesx'                                                          10         4.8028        1.1132e+09         1.8447e+19       6.072e+08         1.9224         4.8028           1.9224     
     'eigorth'                                                             10         137.98        3.9831e+09               1632      4.0508e+08         55.229        0.57162           0.2288     
     'eig_omp'                                                             10         137.41        3.9831e+09                  0      4.0508e+08             55         137.41               55     
     'squeeze'                                                             20        0.61227              6640               6336            1008        0.24507        0.61227          0.24507     
     'spinw.copy'                                                           1         6.8093        6.1384e+05         5.8542e+05           33664         2.7255       0.042371         0.016959     
     'spinw.struct'                                                         1       0.053159              7168                608            2160       0.021277       0.053159         0.021277     
     '@spinw/private/initfield'                                             1        0.87972             52848               1328            6768        0.35212        0.83804          0.33544     
     'spinw.validate'                                                       1         5.6748        4.3117e+05         5.6774e+05           33664         2.2714         4.7743            1.911     
     '@spinw/private/datastruct'                                            2       0.076375             30224                272            6768        0.03057       0.076375          0.03057     
     'spinw.spinw>spinw.spinw'                                              1         6.6351        5.3021e+05          5.692e+05           33664         2.6558       0.080623          0.03227     
     'num2str'                                                              9        0.86579             81264              35904           33664        0.34654        0.63285          0.25331     
     'int2str'                                                              9        0.23293             11280                  0            2256       0.093233        0.23293         0.093233     
     'spinw.spinw>spinw.addlistenermulti'                                   2       0.078645             39600               7680            4944       0.031479       0.046787         0.018727     
     'spinw.spinw>spinw.addlistener'                                        5       0.031858             11824                  0            3872       0.012752       0.031858         0.012752     
     'profile_spinwave'                                                     1         249.81        1.8447e+19         1.8447e+19      1.8447e+19         99.991       0.067588         0.027053     
     'swfiles/private/sw_issymspec'                                         3       0.059901              5616                  0            2304       0.023976       0.059901         0.023976     
     'strtok'                                                               1       0.098334             16928                  0            6080       0.039359       0.029056          0.01163     
     'strtok>doStrtok'                                                      1       0.069278              7184                  0            2544       0.027729       0.069278         0.027729     
     'sw_parstr'                                                            1        0.18871             56704                 64            8592       0.075533       0.090376         0.036174     
     'sumn'                                                                 1       0.024408              1904         1.0969e+07             880      0.0097696       0.024408        0.0097696     
     'sw_resconv'                                                           1       0.051524             36720               1360           23648       0.020623       0.042691         0.017088     
     'gaussfwhm'                                                            1       0.008833                 0               1360               0      0.0035355       0.008833        0.0035355     
     'BiFeO3'                                                               1         249.82        1.8447e+19         1.8447e+19      1.8447e+19         99.993        0.00515        0.0020613     
     'run'                                                                  1         249.83        1.8447e+19         1.8447e+19      1.8447e+19         99.996       0.008036        0.0032165     
     'run_performance_tests'                                                1         249.84        1.8447e+19         1.8447e+19      1.8447e+19            100       0.009871         0.003951     

