                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
     'sw_extendlattice'                                                     1        0.20053        1.6878e+06         8.4258e+05      7.8451e+05       0.060137       0.086054         0.025807     
     'ndgrid'                                                               2        0.15454             20416                  0            3472       0.046344        0.15454         0.046344     
     'mmat'                                                                 7        0.44422        1.6181e+05         1.1211e+05           53344        0.13322         0.3369          0.10103     
     'bsxfunsym'                                                           15        0.11937         7.672e+05         3.1581e+05       1.572e+05       0.035798        0.11937         0.035798     
     'sumsym'                                                               9       0.070778             29200              52304           17792       0.021226       0.070778         0.021226     
     'cross'                                                                2        0.10322             48640               2048           18336       0.030954       0.090711         0.027203     
     'ipermute'                                                             2       0.012505              3440               1840            1136      0.0037501       0.012505        0.0037501     
     'sw_uniquetol'                                                         1       0.028584              8384                  0            4816      0.0085721       0.028584        0.0085721     
     'spinw.basisvector'                                                    1       0.049113             18976                 80            2704       0.014729       0.049113         0.014729     
     'cell2mat'                                                             3        0.06015              9344                  0            5264       0.018038        0.06015         0.018038     
     'spinw.symop'                                                          1       0.017401             84144              74064           77296      0.0052184       0.017401        0.0052184     
     'sw_mattype'                                                           1       0.081069             19072                208            5344       0.024312       0.081069         0.024312     
     'shiftdim'                                                             4       0.087455              8064               1552            1456       0.026227       0.087455         0.026227     
     'fprintf0'                                                             6       0.064853             41424               7568            9504       0.019449       0.064853         0.019449     
     'sw_freemem'                                                           1        0.22758             44192               9248            7536       0.068248       0.058884         0.017659     
     'unix'                                                                 2       0.062639              8416                  0            3840       0.018785       0.062639         0.018785     
     'strtok'                                                               2        0.18178             24448                  0            5968       0.054513        0.05512          0.01653     
     'strtok>doStrtok'                                                      2        0.12666             10224                  0            3072       0.037983        0.12666         0.037983     
     'sw_parstr'                                                            1        0.14864             41792                 64            9728       0.044575       0.072915         0.021867     
     'ismember>ismemberR2012a'                                             22         1.3902             84688              72112           15872         0.4169        0.72758          0.21819     
     'ismember>ismemberBuiltinTypes'                                       22        0.66259             30784                  0           13312         0.1987        0.66259           0.1987     
     'ismember'                                                            22         1.9255        1.2702e+05              77888           18352        0.57745        0.53536          0.16055     
     'sw_mtimesx'                                                          18         6.7142        5.9797e+09                  0      4.0481e+08         2.0135         6.7142           2.0135     
     'eigorth'                                                             18         206.07        4.0776e+09               2528      3.0451e+08         61.799        0.79042          0.23704     
     'eig_omp'                                                             18         205.28        4.0776e+09                  0      3.0451e+08         61.562         205.28           61.562     
     'squeeze'                                                             36        0.87529             44272              42672           33552        0.26249        0.87529          0.26249     
     'spinw.copy'                                                           1         5.4614         6.081e+05         4.5995e+05           33632         1.6378       0.033844         0.010149     
     'spinw.struct'                                                         1       0.044163              8000               1440            2160       0.013244       0.044163         0.013244     
     '@spinw/private/initfield'                                             1        0.69466             94016              34688           33360        0.20832        0.66183          0.19848     
     'spinw.validate'                                                       1         4.5608        3.8222e+05         4.0818e+05           33632         1.3677         3.8436           1.1527     
     '@spinw/private/datastruct'                                            2        0.06095             30224                272            6768       0.018278        0.06095         0.018278     
     'spinw.spinw>spinw.spinw'                                              1         5.3205        5.2278e+05         4.4307e+05           33632         1.5956       0.065003         0.019494     
     'num2str'                                                              9        0.68906             48000               2144           14464        0.20664        0.50882          0.15259     
     'int2str'                                                              9        0.18025             11664                  0            2256       0.054054        0.18025         0.054054     
     'spinw.spinw>spinw.addlistenermulti'                                   2       0.062883             39344               7456            4896       0.018858       0.037484         0.011241     
     'spinw.spinw>spinw.addlistener'                                        5       0.025399             11968                  0            3920      0.0076169       0.025399        0.0076169     
     'profile_spinwave'                                                     1         333.45        1.3336e+10          1.318e+10      1.8447e+19         99.998       0.037775         0.011328     
     'swfiles/private/sw_issymspec'                                         3       0.047613              5824                  0            2512       0.014279       0.047613         0.014279     
     'sumn'                                                                 1       0.019615              1904         1.0969e+07             880      0.0058824       0.019615        0.0058824     
     'sw_resconv'                                                           1        0.03995             40992               1296           23648       0.011981       0.033377         0.010009     
     'gaussfwhm'                                                            1       0.006573                 0               1296               0      0.0019712       0.006573        0.0019712     
     'BiFeO3'                                                               1         333.45        1.3336e+10          1.318e+10      1.8447e+19            100       0.008334        0.0024993     

